yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender,id
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,59,Never,Female,559
Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,+4,40,Once a week,Male,560
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,39,Once a month,Female,561
No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,0,46,Every three months,Female,562
Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,I love it!+5,25,Once a week,Male,563
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,48,Every three months,Male,564
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,56,Once a week,Female,565
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,46,Once a year,Female,566
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,44,Once a week,Male,567
No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,I hate it!-5,55,Once a year,Female,568
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,63,More than once a week,Male,569
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,58,Every three months,Male,570
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,18,Once a month,Male,571
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,60,Every three months,Male,572
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,I hate it!-5,63,Once a year,Female,573
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,30,Once a month,Female,574
No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,I hate it!-5,67,Never,Female,575
No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,65,Never,Female,576
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,61,Once a month,Female,577
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+2,52,Once a week,Male,578
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,23,Once a year,Female,579
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,41,Every three months,Female,580
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,57,Every three months,Male,581
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,46,Once a year,Female,582
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-2,36,Every three months,Male,583
No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,I hate it!-5,54,Never,Male,584
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,37,Once a month,Male,585
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,33,Once a week,Female,586
Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,+3,26,Once a week,Male,587
Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,+4,27,Once a week,Male,588
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,34,Once a year,Male,589
Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,+2,49,Once a month,Male,590
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,34,Once a week,Female,591
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,+3,37,Once a month,Female,592
No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,-4,62,Once a year,Male,593
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,54,Once a month,Male,594
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-3,37,Once a year,Female,595
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,57,Every three months,Male,596
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-1,48,Every three months,Male,597
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,59,Never,Female,598
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,52,Once a month,Female,599
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,36,Every three months,Female,600
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,35,Every three months,Male,601
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,43,Once a year,Male,602
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,60,Never,Female,603
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,32,Never,Female,604
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,62,Once a week,Male,605
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+4,45,Once a month,Male,606
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,45,Once a month,Male,607
No,No,No,No,No,No,No,No,Yes,No,Yes,I hate it!-5,34,Once a month,Male,608
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,55,Once a year,Male,609
No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,-1,36,Every three months,Male,610
No,Yes,No,No,No,Yes,Yes,No,No,No,No,0,29,Once a year,Male,611
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,64,Once a month,Female,612
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,66,Once a month,Female,613
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,49,Once a month,Female,614
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,25,Every three months,Female,615
No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,58,Once a month,Female,616
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,56,Once a year,Female,617
Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,+3,29,Every three months,Female,618
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,70,Once a year,Female,619
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,37,Every three months,Female,620
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,38,Once a week,Male,621
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0,59,Once a year,Female,622
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,20,Every three months,Female,623
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,69,Once a month,Female,624
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,66,Once a month,Female,625
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,53,Once a month,Female,626
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,60,Never,Female,627
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,38,Once a week,Female,628
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,0,34,Every three months,Female,629
Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,+2,45,Every three months,Female,630
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,30,Every three months,Male,631
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,38,Never,Male,632
Yes,Yes,No,No,No,Yes,No,No,No,No,No,+1,55,Once a month,Male,633
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+2,35,Once a month,Female,634
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,-3,49,Once a year,Female,635
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,60,Once a year,Female,636
No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,-2,48,Every three months,Female,637
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,43,Once a month,Female,638
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-4,39,Once a year,Male,639
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,23,Once a week,Male,640
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,51,Once a month,Female,641
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,21,Never,Female,642
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,70,Once a year,Female,643
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,56,Once a year,Male,644
No,No,No,Yes,No,No,No,No,Yes,No,Yes,-1,33,Once a year,Female,645
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,58,Every three months,Male,646
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+3,23,Once a month,Female,647
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,0,63,Every three months,Female,648
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,33,Once a month,Female,649
No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,+1,51,Once a year,Female,650
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,27,Once a month,Male,651
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,51,Once a month,Male,652
No,No,No,No,No,No,No,No,No,No,No,-3,69,Never,Male,653
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+2,59,Every three months,Female,654
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,40,Once a month,Male,655
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,20,Once a month,Female,656
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,28,Never,Male,657
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+1,31,Once a month,Male,658
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,32,Every three months,Female,659
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,34,Once a week,Female,660
No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-3,62,Once a week,Male,661
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,33,Every three months,Female,662
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,-1,51,Once a month,Female,663
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,36,Every three months,Male,664
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,22,Once a month,Female,665
No,No,No,No,No,No,No,No,Yes,No,Yes,I hate it!-5,51,Never,Female,666
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I hate it!-5,42,Never,Male,667
Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,+2,24,Once a month,Male,668
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,18,Once a month,Male,669
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,26,Once a year,Female,670
No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,0,57,Never,Male,671
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+1,59,Once a week,Male,672
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,0,38,Every three months,Female,673
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,26,More than once a week,Female,674
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,31,Once a month,Male,675
Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,27,Once a year,Female,676
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,55,Never,Male,677
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,47,More than once a week,Male,678
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,52,Never,Male,679
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,58,Once a week,Male,680
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,30,Every three months,Female,681
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,38,Every three months,Female,682
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,49,Once a week,Female,683
Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,+3,37,Once a month,Male,684
Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,+3,39,Once a month,Male,685
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,60,Once a week,Male,686
Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,+3,50,Once a week,Male,687
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,25,Once a week,Male,688
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,64,Never,Male,689
No,No,No,Yes,No,No,No,No,Yes,No,Yes,-3,62,Once a year,Male,690
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,37,Once a year,Male,691
Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,+2,68,Every three months,Male,692
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,24,Once a month,Female,693
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,+1,26,Once a week,Male,694
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,+2,49,Once a month,Female,695
No,Yes,No,No,No,No,No,No,Yes,No,No,-2,43,Once a week,Male,696
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+4,53,Once a month,Female,697
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,41,Once a month,Male,698
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,35,Every three months,Female,699
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,60,Never,Male,700
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,35,Once a week,Male,701
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,0,54,Every three months,Male,702
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+4,23,Once a week,Female,703
No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,0,41,Once a year,Female,704
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,57,Once a year,Female,705
No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,64,Never,Female,706
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,59,Once a month,Female,707
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,38,Once a month,Female,708
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,66,Every three months,Male,709
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,49,Once a week,Female,710
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,48,Every three months,Female,711
No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,I hate it!-5,63,Once a year,Female,712
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,64,Every three months,Female,713
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-1,56,Every three months,Female,714
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,24,More than once a week,Female,715
No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,0,57,Once a year,Female,716
No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,-4,59,Once a year,Male,717
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,39,Once a month,Female,718
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,37,Once a week,Female,719
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,0,65,Once a year,Male,720
No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,I hate it!-5,55,Every three months,Male,721
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-2,34,Once a year,Female,722
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,31,Once a week,Female,723
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,23,Once a month,Female,724
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,42,Once a month,Female,725
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,31,Once a year,Male,726
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,32,Once a month,Female,727
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,49,Every three months,Female,728
No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,0,59,Once a month,Male,729
Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,I love it!+5,21,More than once a week,Female,730
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,25,Once a month,Female,731
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,24,Once a month,Male,732
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I hate it!-5,58,Never,Male,733
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,54,Every three months,Male,734
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,62,Never,Male,735
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,+3,31,Once a month,Male,736
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+1,21,Once a month,Female,737
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,48,Once a month,Male,738
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,30,Every three months,Female,739
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+2,36,Once a week,Female,740
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,21,Every three months,Female,741
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,63,Every three months,Female,742
Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,+1,33,Once a week,Male,743
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,18,Once a week,Female,744
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,20,Once a month,Male,745
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,56,Once a month,Female,746
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,38,Every three months,Female,747
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,43,Every three months,Male,748
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,0,18,Every three months,Male,749
No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,+3,19,Once a week,Male,750
No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,-2,43,Every three months,Male,751
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,50,Never,Male,752
Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-3,54,Once a month,Female,753
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,23,Once a week,Male,754
No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,0,40,Every three months,Male,755
Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,+2,52,Every three months,Female,756
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,35,Every three months,Male,757
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+1,41,Once a month,Male,758
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,60,Once a year,Male,759
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,66,Every three months,Female,760
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-1,45,Every three months,Male,761
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,39,Once a month,Male,762
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+1,49,Once a year,Female,763
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,58,Once a month,Female,764
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,32,Every three months,Female,765
Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,+3,34,Once a month,Female,766
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,50,Once a month,Female,767
No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,I hate it!-5,58,Never,Female,768
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-3,34,Once a year,Female,769
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,53,Every three months,Female,770
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,46,Once a month,Male,771
Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,54,Once a year,Female,772
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,29,Once a month,Male,773
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,38,Once a month,Female,774
Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,+2,52,Every three months,Female,775
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,32,Once a month,Female,776
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,65,Once a month,Female,777
Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,0,44,Every three months,Male,778
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-1,42,Once a month,Male,779
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,37,Once a month,Female,780
Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,0,24,More than once a week,Male,781
No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,0,69,Never,Female,782
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,39,Once a month,Male,783
Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,+4,55,Once a month,Male,784
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,47,Every three months,Female,785
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,46,Once a month,Female,786
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,63,Every three months,Female,787
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,64,Never,Female,788
Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,+3,34,Every three months,Female,789
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-2,30,Once a week,Male,790
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,37,Once a year,Female,791
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+4,48,Once a month,Male,792
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,32,Once a month,Female,793
No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,-1,24,Once a year,Female,794
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+4,65,Every three months,Male,795
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,64,Every three months,Male,796
No,Yes,No,No,No,Yes,No,No,No,No,No,0,64,Every three months,Male,797
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,50,Once a month,Male,798
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,55,Once a month,Male,799
No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,-2,70,Once a year,Male,800
No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,-2,35,Never,Female,801
No,No,No,No,No,No,No,No,No,No,No,I hate it!-5,24,Never,Male,802
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,18,Once a year,Male,803
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,30,Once a month,Female,804
No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,-3,59,Once a year,Male,805
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,64,Once a month,Male,806
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,-3,62,Once a year,Male,807
No,Yes,No,Yes,No,No,No,No,Yes,No,No,-3,63,Once a year,Female,808
Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,+3,36,Once a week,Male,809
No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,32,Every three months,Male,810
Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,61,Once a week,Female,811
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,42,Once a week,Female,812
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,43,Once a month,Female,813
No,Yes,No,Yes,No,No,No,No,No,No,No,0,44,Once a year,Female,814
No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,19,Once a week,Male,815
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,53,Every three months,Female,816
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,32,Every three months,Male,817
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,52,Once a month,Female,818
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-3,60,Never,Male,819
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-1,53,Every three months,Female,820
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,33,Once a year,Female,821
Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,I love it!+5,40,Once a month,Female,822
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-2,63,Once a year,Male,823
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+3,47,Once a week,Male,824
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,25,Once a month,Female,825
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,38,Every three months,Male,826
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,28,Once a week,Female,827
No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,0,57,Once a year,Male,828
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,56,Once a week,Female,829
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,35,Every three months,Male,830
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-3,62,Once a year,Male,831
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+1,37,Every three months,Female,832
No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,+1,63,Once a week,Male,833
No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,+1,57,Once a year,Male,834
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-1,53,Once a year,Female,835
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,+2,49,Once a week,Female,836
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,56,Never,Male,837
No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+1,50,Once a month,Male,838
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,59,Once a year,Female,839
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,32,Once a month,Female,840
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,44,Once a month,Female,841
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,+1,34,Once a month,Female,842
